Image#,Source PDF,Year,Type of Chart,Secondary Type Of Chart,Description,PDF Link
1,Climate Science Special Report Volume 1,2017,Choropleth Map,None,Distinguishes Regions of the United States,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
2,Climate Science Special Report Volume 1,2017,Line Chart,Time Series,This image shows observations globally from nine different variables that are key indicators of a warming climate,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
3,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Surface temperature change (in �F) for the period 1986�2016 relative to 1901�1960,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
4,Climate Science Special Report Volume 1,2017,Line Chart ,Time Series,"The historical observed and future temperature change that would result for a range of future scenarios relative to the 1901�1960 average, based on the central estimate (lines) and a range (shaded areas, two standard deviations) as simulated by the full suite of CMIP5 global climate models",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
5,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Surface annually averaged precipitation change (in inches) for the period 1986�2015 relative to 1901�1960.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
6,Climate Science Special Report Volume 1,2017,Line Chart ,Time Series,,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
7,Climate Science Special Report Volume 1,2017,Line Chart,None,Proxy temperatures reconstructions for the seven regions of the PAGES 2k Network.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
8,Climate Science Special Report Volume 1,2017,Sankey Diagram,None,Global mean energy budget of Earth under present-day climate conditions.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
9,Climate Science Special Report Volume 1,2017,Model,None,Simplified conceptual modeling framework for the climate system as implemented in many climate models,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
10,Climate Science Special Report Volume 1,2017,Bar Graph,Box and Whisker,"Bar chart for radiative forcing (RF; hatched) and effective radiative forcing (ERF; solid) for the period 1750�2011, where the total ERF is derived from the Intergovernmental Panel on Climate Change�s Fifth Assessment Report",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
11,Climate Science Special Report Volume 1,2017,Scatter Plot,None,"Atmospheric concentrations of CO2 (top), CH4 (middle), and N2O (bottom) over the last 800,000 years (left panels) and for 1750�2015 (right panels).",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
12,Climate Science Special Report Volume 1,2017,Line Chart,Bar Chart,Radiative forcing (RF) from the major WMGHGs and groups of halocarbons (Others) from 1850 to 2011; (b) the data in (a) with a logarithmic scale; (c) RFs from the minor WMGHGs from 1850 to 2011 (logarithmic scale); (d) the annual rate of change ([W/m2 ]/year) in forcing from the major WMGHGs and halocarbons from 1850 to 2011.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
13,Climate Science Special Report Volume 1,2017,Line Chart ,Area Chart,Time evolution in effective radiative forcings (ERFs) across the industrial era for anthropogenic and natural forcing mechanisms,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
14,Climate Science Special Report Volume 1,2017,Area Chart,None,CO2 sources and sinks (GtCO2/yr) over the period 1870�2015.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
15,Climate Science Special Report Volume 1,2017,Line Chart,None,"Comparison of global mean temperature anomalies (�F) from observations (through 2016) and the CMIP5 multimodel ensemble (through 2016), using the reference period 1901�1960.",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
16,Climate Science Special Report Volume 1,2017,Bar Graph,Box and Whisker,Observed global mean temperature trend (black bar) and attributable warming or cooling influences of anthropogenic and natural forcings over 1951�2010,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
17,Climate Science Special Report Volume 1,2017,Line Chart,None,"Estimates of the contributions of several forcing factors and internal variability to global mean temperature change since 1870, based on an empirical approach using multiple linear regression and energy balance models",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
18,Climate Science Special Report Volume 1,2017,Line Chart,None,"Global mean temperature anomalies (�F) relative to 1976�2005 for four RCP scenarios, 2.6 (green), 4.5 (yellow), 6.0 (orange), and 8.5 (red). Each line represents an individual simulation from the CMIP5 archive.",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
19,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,"This figure compares annual average precipitation (in millimeters) for the historical period 1979�2008 using (a) a resolution of 250 km or 150 miles with (b) a resolution of 15 miles or 25 km to illustrate the importance of spatial scale in resolving key topographical features, particularly along the coasts and in mountainous areas.",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
20,Climate Science Special Report Volume 1,2017,Area Chart,None,The fraction of total variance in decadal mean surface air temperature predictions explained by the three components of total uncertainty is shown for the lower 48 states,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
21,Climate Science Special Report Volume 1,2017,Model,None,Plan and (bottom) cross-section schematic view representations of the general circulation of the atmosphere,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
22,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,"Cold season relationship between climate indices and U.S. precipitation and temperature anomalies determined from U.S. climate division data,179 for the years 1901�2014.",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
23,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Total 2010�2060 winter trends decomposed into (center) internal and (right) forced components for two contrasting CCSM3 ensemble members (runs 29 and 6) for (a) surface air temperature [color shading; �F/(51 years)] and sea level pressure (SLP; contours) and (b) precipitation [color shading; inches per day/(51 years)] and SLP (contours).,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
24,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,"Observed changes in annual, winter, and summer temperature (�F)",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
25,Climate Science Special Report Volume 1,2017,Line Chart,Time Series,Pollen-based temperature reconstruction for temperate North America.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
26,Climate Science Special Report Volume 1,2017,Dot Distribution Map,Line Chart,Observed changes in the coldest and warmest daily temperatures (�F) of the year in the contiguous United States. Maps (top) depict changes at stations; changes are the difference between the average for present-day,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
27,Climate Science Special Report Volume 1,2017,Line Chart,None,Observed changes in cold and heat waves in the contiguous United States.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
28,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Projected changes in annual average temperatures (�F),https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
29,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Projected changes in the coldest and warmest daily temperatures (�F) of the year in the contiguous United States.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
30,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Projected changes in the number of days per year with a maximum temperature above 90�F and a minimum temperature below 32�F in the contiguous United States.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
31,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,"Annual and seasonal changes in precipitation over the United States. Changes are the average for present-day (1986�2015) minus the average for the first half of the last century (1901�1960 for the contiguous United States,",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
